column,code
Abra,1
Agusan Norte,2
Agusan del Sur,3
Aklan,4
Albay,5
Antique,6
Basilan,7
Bataan,8
Batanes,9
Batangas,10
Benguet,11
Bohol,12
Bukidnon,13
Bulacan,14
Cagayan,15
Camarines Norte,16
Camarines Sur,17
Camiguin,18
Capiz,19
Catanduanes,20
Cavite,21
Cebu,22
Davao,23
Davao Sur,24
Davao Oriental,25
Eastern Samar,26
Ifugao,27
Ilocos Norte,28
Ilocos Sur,29
Iloilo,30
Isabela,31
Kalinga,32
La Union,33
Laguna,34
Lanao del Norte,35
Lanao del Sur,36
Leyte,37
Maguindanao,38
Manila,39
Marinduque,40
Masbate,41
Misamis Occidental,42
Misamis Oriental,43
Mountain Province,44
Negros Occidental,45
Negros Oriental,46
Cotabato,47
Northern Samar,48
Nueva Ecija,49
Nueva Vizcaya,50
Occidental Mindoro,51
Oriental Mindoro,52
Palawan,53
Pampanga,54
Pangasinan,55
Quezon,56
Quirino,57
Rizal,58
Romblon,59
Samar (Western),60
Siquijor,61
Sorsogon,62
South Cotabato,63
Southern Leyte,64
Sultan Kudarat,65
Sulu,66
Surigao del Norte,67
Surigao del Sur,68
Tarlac,69
Tawi-Tawi,70
Zambales,71
Zamboanga del Norte,72
Zamboanga del Sur,73
Second District-Metro Manila,74
Third District-Metro Manila,75
Fourth District-Metro Manila,76
Aurora,77
Biliran,78
Guimaras,79
Saranggani,80
Apayao,81
Compostela Valley,82
Zamboanga Sibugay,83
Dinagat Islands,85
Davao Occidental,86
Isabela City,97
Cotabato City,98
Manila,39
NCR-2nd Dist.,74
NCR-3rd Dist.,75
NCR-4th Dist.,76
Abra,1
Benguet,11
Ifugao,27
Kalinga,32
Mountain Province,44
Apayao,81
Ilocos Norte,28
Ilocos Sur,29
La Union,33
Pangasinan,55
Batanes,9
Cagayan,15
Isabela,31
Nueva Vizcaya,50
Quirino,57
Bataan,8
Bulacan,14
Nueva Ecija,49
Pampanga,54
Tarlac,69
Zambales,71
Aurora,77
Batangas,10
Cavite,21
Laguna,34
Quezon,56
Rizal,58
Marinduque,40
Occidental Mindoro,51
Oriental Mindoro,52
Palawan,53
Romblon,59
Albay,5
Camarines Norte,16
Camarines Sur,17
Catanduanes,20
Masbate,41
Sorsogon,62
Aklan,4
Antique,6
Capiz,19
Iloilo,30
Negros Occidental,45
Guimaras,79
Bohol,12
Cebu,22
Negros Oriental,46
Siquijor,61
Eastern Samar,26
Leyte,37
Northern Samar,48
Samar (Western),60
Southern Leyte,64
Biliran,78
Zamboanga del Norte,72
Zamboanga del Sur,73
Zamboanga Sibugay,83
Isabela City,97
Bukidnon,13
Camiguin,18
Lanao del Norte,35
Misamis Occidental,42
Misamis Oriental,43
Davao,23
Davao de Sur,24
Davao Oriental,25
Compostela Valley,82
Davao Occidental,86
Cotabato,47
South Cotabato,63
Sultan Kudarat,65
Sarangani,80
Cotabato City,98
Basilan,7
Lanao del Sur,36
Maguindanao,38
Sulu,66
Tawi-tawi,70
Agusan del Norte,2
Agusan del Sur,3
Surigao del Norte,67
Surigao del Sur,68
Dinagat Island,85